composition OQMD_Id A_atom B_atom OQMD_unrelaxed_lattice_parameter OQMD_relaxed_lattice_parameter
NaBO3 355224 B Na 4.74260600 4.01711400
NaCaO3 353025 Na Ca 5.21959800 4.33459500
NaCaO3 353077 Ca Na 5.21959800 4.02006500
NaCdO3 350801 Na Cd 4.93893800 4.14491800
NaCdO3 354949 Cd Na 4.93893800 4.00152900
NaCeO3 351333 Ce Na 5.10906000 4.01563300
NaCeO3 351634 Na Ce 5.10906000 4.58438600
NaCoO3 353075 Na Co 4.79206600 3.71060000
NaCoO3 354226 Co Na 4.79206600 4.79407800
NaCrO3 351362 Na Cr 4.80697300 4.80697900
NaCrO3 353097 Cr Na 4.80697300 3.97180500
NaCuO3 351945 Na Cu 4.80265900 3.73545000
NaCuO3 353344 Cu Na 4.80265900 3.99292500
NaDyO3 350357 Dy Na 5.07296400 3.91544400
NaDyO3 351511 Na Dy 5.07296400 4.36384300
NaErO3 350883 Na Er 5.06096400 4.32750700
NaErO3 351568 Er Na 5.06096400 3.90240200
NaEuO3 353751 Eu Na 5.27902700 4.02294700
NaEuO3 353935 Na Eu 5.27902700 4.45856300
NaFeO3 350822 Fe Na 4.80266200 3.94236000
NaFeO3 352810 Na Fe 4.80266200 3.73878300
NaGaO3 350409 Na Ga 4.91312000 3.84729300
NaGaO3 351361 Ga Na 4.91312000 3.94231700
NaGdO3 351198 Gd Na 5.09249400 3.93286100
NaGdO3 351989 Na Gd 5.09249400 4.40973900
NaGeO3 351655 Ge Na 4.95500900 4.00184400
NaGeO3 353691 Na Ge 4.95500900 3.73346100
NaHfO3 352418 Na Hf 4.94967900 4.09852400
NaHfO3 354571 Hf Na 4.94967900 3.77119700
NaHgO3 354254 Hg Na 4.98135400 4.04906700
NaHgO3 355210 Na Hg 4.98135400 4.17522500
NaHoO3 350165 Na Ho 5.06751500 4.34550000
NaHoO3 351502 Ho Na 5.06751500 3.91013400
NaInO3 351854 In Na 5.00101900 3.96180500
NaInO3 352115 Na In 5.00101900 4.14920000
NaIrO3 352045 Ir Na 4.83667600 3.82736200
NaIrO3 352509 Na Ir 4.83667600 3.87163400
NaLaO3 350230 Na La 5.14919000 4.50462700
NaLaO3 354662 La Na 5.14919000 4.01791300
NaLiO3 354214 Li Na 4.94035500 4.06640400
NaLiO3 354325 Na Li 4.94035500 3.64231800
NaLuO3 351337 Lu Na 5.04649500 3.88451700
NaLuO3 353060 Na Lu 5.04649500 4.26664300
NaMgO3 352848 Na Mg 4.96261500 3.90532500
NaMgO3 355066 Mg Na 4.96261500 3.95746700
NaMnO3 351657 Na Mn 4.80965200 3.74971400
NaMnO3 353702 Mn Na 4.80965200 3.97003100
NaMoO3 352296 Na Mo 4.85714800 3.88623600
NaMoO3 353483 Mo Na 4.85714800 3.77061900
NaNbO3 349983 Na Nb 4.89095500 3.97926200
NaNbO3 355020 Nb Na 4.89095500 3.76049700
NaNdO3 352598 Nd Na 5.10670200 3.98029300
NaNdO3 354359 Na Nd 5.10670200 4.52402500
NaNiO3 351229 Na Ni 4.79048200 3.73236200
NaNiO3 352388 Ni Na 4.79048200 3.93470700
NaNpO3 353248 Np Na 4.90820500 3.96389300
NaNpO3 354758 Na Np 4.90820500 4.27491000
NaOsO3 353889 Na Os 4.83415000 3.84909000
NaOsO3 355037 Os Na 4.83415000 3.83368600
NaPaO3 351382 Pa Na 4.98603200 3.82767100
NaPaO3 354368 Na Pa 4.98603200 4.36479400
NaPbO3 353525 Na Pb 5.05705800 4.23026900
NaPbO3 354570 Pb Na 5.05705800 4.09368100
NaPdO3 351191 Pd Na 4.84454700 3.95157600
NaPdO3 351797 Na Pd 4.84454700 3.93576300
NaPmO3 354253 Na Pm 5.09366300 4.49470800
NaPmO3 354716 Pm Na 5.09366300 3.96434400
NaPrO3 351882 Pr Na 5.11134400 3.99635700
NaPrO3 352503 Na Pr 5.11134400 4.54983300
NaPtO3 350194 Pt Na 4.85012900 3.89653900
NaPtO3 353675 Na Pt 4.85012900 3.94448800
NaPuO3 354594 Na Pu 4.92443900 4.27872100
NaReO3 353271 Na Re 4.84466500 3.86347000
NaReO3 355288 Re Na 4.84466500 3.83333800
NaRhO3 350836 Rh Na 4.83127500 3.94086300
NaRhO3 354725 Na Rh 4.83127500 3.88276100
NaRuO3 352721 Na Ru 4.82839100 3.83944000
NaRuO3 353742 Ru Na 4.82839100 3.93034000
NaSbO3 352551 Na Sb 5.05587900 3.92556900
NaSbO3 354064 Sb Na 5.05587900 3.97416900
NaScO3 351868 Sc Na 4.98622900 3.86666500
NaScO3 352696 Na Sc 4.98622900 4.09825100
NaSiO3 350516 Si Na 4.91890100 3.94414900
NaSiO3 351108 Na Si 4.91890100 3.52334500
NaSmO3 350615 Na Sm 5.09413700 4.47319700
NaSmO3 352107 Sm Na 5.09413700 3.95509000
NaSnO3 353611 Sn Na 5.01389900 3.97669000
NaSnO3 355077 Na Sn 5.01389900 4.05418800
NaSrO3 350343 Sr Na 5.36123600 4.10964700
NaSrO3 352754 Na Sr 5.36123600 4.53115000
NaTaO3 351878 Na Ta 4.89151600 3.95570800
NaTaO3 352952 Ta Na 4.89151600 3.73200500
NaTbO3 350268 Tb Na 5.07955500 3.92314600
NaTbO3 350507 Na Tb 5.07955500 4.38561100
NaTcO3 350667 Tc Na 4.83671100 3.90110200
NaTcO3 351423 Na Tc 4.83671100 3.84534900
NaTeO3 353624 Te Na 5.10435700 3.93105100
NaTeO3 355160 Na Te 5.10435700 4.03386100
NaThO3 351136 Th Na 5.08994900 3.93072100
NaThO3 352007 Na Th 5.08994900 4.49025900
NaTiO3 353384 Ti Na 4.88406400 3.82815700
NaTiO3 353993 Na Ti 4.88406400 3.86835200
NaTlO3 353583 Na Tl 5.03487200 4.22276100
NaTlO3 353712 Tl Na 5.03487200 4.04907000
NaTmO3 354477 Tm Na 5.05393200 3.89452700
NaTmO3 354531 Na Tm 5.05393200 4.30529900
NaUO3 354100 Na U 4.93042200 4.30836800
NaUO3 354679 U Na 4.93042200 3.96029300
NaVO3 350683 Na V 4.83234700 3.72944900
NaVO3 354269 V Na 4.83234700 3.88260500
NaWO3 352358 Na W 4.86091400 3.89311400
NaWO3 354551 W Na 4.86091400 3.76365700
NaYbO3 350974 Na Yb 5.19555300 4.20206600
NaYbO3 352152 Yb Na 5.19555300 3.96203100
NaYO3 353166 Na Y 5.09198700 4.39157800
NaYO3 355016 Y Na 5.09198700 3.92652300
NaZnO3 352398 Na Zn 4.85186800 3.84769500
NaZnO3 354184 Zn Na 4.85186800 3.94295100
NaZrO3 351126 Zr Na 4.96344800 3.79838700
NaZrO3 353192 Na Zr 4.96344800 4.16127300
Nb2O3 354917 Nb Nb 4.57395100 4.00701500
NbAgO3 350755 Ag Nb 4.55885900 3.99732800
NbAgO3 350765 Nb Ag 4.55885900 3.99145700
NbAlO3 351118 Nb Al 4.55161600 3.64194600
NbAlO3 355156 Al Nb 4.55161600 4.02120100
NbAsO3 352757 As Nb 4.62961400 4.01314300
NbAsO3 355203 Nb As 4.62961400 3.90495000
NbAuO3 350655 Nb Au 4.55733900 4.05633400
NbAuO3 354306 Au Nb 4.55733900 4.00673900
NbBiO3 352617 Bi Nb 4.83557600 4.08582600
NbBiO3 354229 Nb Bi 4.83557600 4.28175400
NbBO3 350120 B Nb 4.40311800 3.96844800
NbBO3 354617 Nb B 4.40311800 3.39966900
NbCdO3 352699 Nb Cd 4.62869700 4.07007200
NbCdO3 353468 Cd Nb 4.62869700 4.02259200
NbCoO3 351640 Nb Co 4.46035200 3.65098300
NbCoO3 354290 Co Nb 4.46035200 3.97684700
NbCrO3 352499 Nb Cr 4.47754600 3.78976200
NbCrO3 355291 Cr Nb 4.47754600 3.98873100
NbCuO3 354847 Cu Nb 4.47257200 3.96178000
NbCuO3 354889 Nb Cu 4.47257200 3.68273800
NbFeO3 351176 Nb Fe 4.47257600 3.79328500
NbFeO3 354642 Fe Nb 4.47257600 3.97666000
NbGaO3 351325 Nb Ga 4.59926900 3.76745900
NbGaO3 354295 Ga Nb 4.59926900 4.02007400
NbGeO3 350786 Ge Nb 4.64698200 4.01559200
NbGeO3 351909 Nb Ge 4.64698200 3.79018600
NbHgO3 352104 Hg Nb 4.67690200 4.04079300
NbHgO3 354016 Nb Hg 4.67690200 4.14981400
NbInO3 352695 Nb In 4.69919200 4.07343300
NbInO3 353854 In Nb 4.69919200 4.06193300
NbIrO3 351467 Nb Ir 4.51173100 3.91476100
NbIrO3 353862 Ir Nb 4.51173100 3.98934300
NbMoO3 351730 Nb Mo 4.53523500 3.92869100
NbMoO3 353039 Mo Nb 4.53523500 4.01791100
NbNiO3 353441 Ni Nb 4.45852300 3.96308200
NbNiO3 355238 Nb Ni 4.45852300 3.66100000
NbOsO3 353291 Os Nb 4.50882800 4.00098500
NbOsO3 353486 Nb Os 4.50882800 3.89964500
NbPbO3 350364 Pb Nb 4.76251800 4.08190800
NbPbO3 350941 Nb Pb 4.76251800 4.20621300
NbPdO3 351183 Pd Nb 4.52077300 3.98303700
NbPdO3 352871 Nb Pd 4.52077300 3.92569200
NbPtO3 351693 Pt Nb 4.52718100 3.99220900
NbPtO3 354195 Nb Pt 4.52718100 3.97685100
NbReO3 352143 Nb Re 4.52090800 3.91518300
NbReO3 354436 Re Nb 4.52090800 4.02665300
NbRhO3 353322 Rh Nb 4.50552200 3.98347200
NbRhO3 354982 Nb Rh 4.50552200 3.88506700
NbRuO3 352811 Ru Nb 4.50220500 3.99261800
NbRuO3 353409 Nb Ru 4.50220500 3.87391400
NbSbO3 350143 Sb Nb 4.76118800 4.06571800
NbSbO3 354352 Nb Sb 4.76118800 4.09332100
NbSiO3 353423 Si Nb 4.60586400 4.00524400
NbSiO3 353466 Nb Si 4.60586400 3.60684400
NbSnO3 350679 Nb Sn 4.71377200 4.03040900
NbSnO3 354128 Sn Nb 4.71377200 4.06683000
NbTcO3 350972 Tc Nb 4.51177100 4.01000100
NbTcO3 353825 Nb Tc 4.51177100 3.88917300
NbTeO3 351520 Te Nb 4.81575100 4.07663600
NbTeO3 352073 Nb Te 4.81575100 4.17319300
NbTlO3 350083 Tl Nb 4.73748100 4.08091100
NbTlO3 350184 Nb Tl 4.73748100 4.19825200
NbVO3 353517 V Nb 4.50675500 3.98926600
NbVO3 354010 Nb V 4.50675500 3.80690800
NbWO3 350203 Nb W 4.53955400 3.93803900
NbWO3 351587 W Nb 4.53955400 4.01614700
NbZnO3 350014 Zn Nb 4.52917700 3.98884900
NbZnO3 353883 Nb Zn 4.52917700 3.77630200
Nd2O3 351894 Nd Nd 5.04025600 4.46729400
NdAgO3 350540 Nd Ag 4.80479200 4.05190200
NdAgO3 351267 Ag Nd 4.80479200 4.45313300
NdAlO3 350044 Al Nd 4.79827400 4.46355400
NdAlO3 355192 Nd Al 4.79827400 3.74668500
NdAsO3 353978 As Nd 4.86863200 4.44950900
NdAsO3 354222 Nd As 4.86863200 4.03311400
NdAuO3 350895 Nd Au 4.80342400 4.12167600
NdAuO3 351160 Au Nd 4.80342400 4.46297300
NdBeO3 350528 Nd Be 4.67169300 3.62695500
NdBeO3 353139 Be Nd 4.67169300 4.41509100
NdBiO3 351284 Nd Bi 5.05597300 4.36363700
NdBiO3 351994 Bi Nd 5.05597300 4.49101100
NdBO3 351952 Nd B 4.66531200 3.54480000
NdBO3 352086 B Nd 4.66531200 4.42880400
NdCdO3 350781 Cd Nd 4.86780200 4.44106100
NdCdO3 353877 Nd Cd 4.86780200 4.12070500
NdCoO3 350787 Co Nd 4.71639700 4.42373000
NdCrO3 350720 Nd Cr 4.73178400 3.86981200
NdCrO3 352248 Cr Nd 4.73178400 4.46392500
NdCuO3 351835 Nd Cu 4.72733200 3.79348000
NdCuO3 353397 Cu Nd 4.72733200 4.48086900
NdDyO3 351073 Dy Nd 5.00561400 4.44778000
NdDyO3 354945 Nd Dy 5.00561400 4.28453000
NdErO3 351869 Nd Er 4.99328700 4.23981600
NdErO3 353953 Er Nd 4.99328700 4.44462100
NdEuO3 353242 Nd Eu 5.21692600 4.27891900
NdEuO3 354380 Eu Nd 5.21692600 4.41381900
NdFeO3 352103 Nd Fe 4.72733500 3.88184200
NdFeO3 354648 Fe Nd 4.72733500 4.44748100
NdGaO3 352408 Nd Ga 4.84121800 3.85109800
NdGaO3 352495 Ga Nd 4.84121800 4.52592800
NdGdO3 350056 Gd Nd 5.02567000 4.45284900
NdGdO3 352118 Nd Gd 5.02567000 4.33546800
NdGeO3 350082 Ge Nd 4.88434400 4.42535500
NdGeO3 354923 Nd Ge 4.88434400 3.92844200
NdHfO3 352176 Nd Hf 4.87885900 4.09196100
NdHfO3 352942 Hf Nd 4.87885900 4.42613900
NdHgO3 351037 Nd Hg 4.91145000 4.21150900
NdHgO3 353437 Hg Nd 4.91145000 4.47541500
NdHoO3 351711 Ho Nd 5.00001700 4.44806000
NdHoO3 351867 Nd Ho 5.00001700 4.26170100
NdInO3 350689 In Nd 4.93167600 4.49872800
NdInO3 353220 Nd In 4.93167600 4.11282100
NdIrO3 350449 Nd Ir 4.76243000 3.98370000
NdIrO3 353431 Ir Nd 4.76243000 4.43544000
NdLuO3 350633 Nd Lu 4.97842100 4.17665700
NdLuO3 355166 Lu Nd 4.97842100 4.43961100
NdMgO3 350425 Mg Nd 4.89217100 4.40658400
NdMgO3 353548 Nd Mg 4.89217100 3.86629400
NdMnO3 354211 Mn Nd 4.73454900 4.40320700
NdMnO3 354435 Nd Mn 4.73454900 3.88094600
NdMoO3 353432 Mo Nd 4.78354100 4.43542900
NdMoO3 354212 Nd Mo 4.78354100 3.98434200
NdNbO3 354785 Nd Nb 4.81838500 4.05182900
NdNbO3 355079 Nb Nd 4.81838500 4.43273500
NdNiO3 354888 Nd Ni 4.71476200 3.77156100
NdNpO3 352112 Nd Np 4.83615500 4.41244900
NdNpO3 352786 Np Nd 4.83615500 4.46628900
NdOsO3 351006 Os Nd 4.75982500 4.43842300
NdOsO3 353952 Nd Os 4.75982500 3.96722700
NdPaO3 350141 Pa Nd 4.91626200 4.45234300
NdPaO3 353021 Nd Pa 4.91626200 4.47387200
NdPbO3 350378 Pb Nd 4.98927400 4.48014200
NdPbO3 353964 Nd Pb 4.98927400 4.18664400
NdPdO3 350130 Pd Nd 4.77054800 4.47481300
NdPdO3 351122 Nd Pd 4.77054800 3.98823300
NdPtO3 351394 Nd Pt 4.77630300 4.04151600
NdPtO3 354116 Pt Nd 4.77630300 4.45640400
NdPuO3 350592 Pu Nd 4.85287500 4.45255400
NdPuO3 354361 Nd Pu 4.85287500 4.38955100
NdReO3 350009 Nd Re 4.77066900 3.97463200
NdReO3 350295 Re Nd 4.77066900 4.42495000
NdRhO3 350260 Nd Rh 4.75685900 3.95117700
NdRhO3 353411 Rh Nd 4.75685900 4.44934300
NdRuO3 350651 Ru Nd 4.75388300 4.43478200
NdRuO3 351179 Nd Ru 4.75388300 3.94658600
NdSbO3 351364 Sb Nd 4.98806300 4.47727700
NdSbO3 351491 Nd Sb 4.98806300 4.23761300
NdScO3 350943 Nd Sc 4.91646500 4.02233600
NdScO3 355206 Sc Nd 4.91646500 4.43827600
NdSiO3 352172 Si Nd 4.84717100 4.41745300
NdSiO3 352302 Nd Si 4.84717100 3.76460000
NdSmO3 350490 Sm Nd 5.02735600 4.46033600
NdSmO3 352879 Nd Sm 5.02735600 4.40236900
NdSnO3 353144 Nd Sn 4.94491900 4.13944100
NdSnO3 353534 Sn Nd 4.94491900 4.46481600
NdTaO3 353454 Ta Nd 4.81896300 4.42909200
NdTaO3 354638 Nd Ta 4.81896300 4.02700800
NdTbO3 351976 Tb Nd 5.01238300 4.45175900
NdTbO3 351985 Nd Tb 5.01238300 4.30924300
NdTcO3 353766 Tc Nd 4.76246600 4.42825900
NdTcO3 354228 Nd Tc 4.76246600 3.96385100
NdTeO3 351052 Nd Te 5.03784900 4.25769700
NdTeO3 354645 Te Nd 5.03784900 4.49237100
NdThO3 350863 Th Nd 5.02305700 4.46288000
NdThO3 351860 Nd Th 5.02305700 4.56003700
NdTiO3 351687 Nd Ti 4.81128500 3.91325600
NdTiO3 352319 Ti Nd 4.81128500 4.42554800
NdTlO3 350006 Nd Tl 4.96647800 4.25731900
NdTlO3 352130 Tl Nd 4.96647800 4.52066300
NdTmO3 350313 Nd Tm 4.98606300 4.21513900
NdTmO3 351676 Tm Nd 4.98606300 4.44372100
NdUO3 351209 U Nd 4.85903500 4.46333300
NdUO3 353243 Nd U 4.85903500 4.41320300
NdVO3 351373 Nd V 4.75796400 3.89657400
NdVO3 353511 V Nd 4.75796400 4.40975100
NdWO3 354012 Nd W 4.78742400 3.98782000
NdWO3 354970 W Nd 4.78742400 4.43371100
NdYO3 350314 Nd Y 5.02514900 4.28493600
NdYO3 355287 Y Nd 5.02514900 4.45385000
NdZnO3 351274 Nd Zn 4.77809700 3.86207700
NdZnO3 353258 Zn Nd 4.77809700 4.45069500
NdZrO3 351459 Zr Nd 4.89302800 4.43642000
NdZrO3 353916 Nd Zr 4.89302800 4.14475300
Ni2O3 351161 Ni Ni 4.33678800 4.11747400
NiAgO3 353236 Ag Ni 4.44263600 3.75170400
NiAgO3 354461 Ni Ag 4.44263600 3.95481200
NiAsO3 350254 As Ni 4.51705000 3.67500900
NiAsO3 350740 Ni As 4.51705000 3.71408600
NiAuO3 350937 Au Ni 4.44103500 3.76376700
NiAuO3 352946 Ni Au 4.44103500 3.99762100
NiBiO3 350774 Ni Bi 4.73271200 4.18869100
NiBiO3 354673 Bi Ni 4.73271200 3.79691000
NiBO3 352606 Ni B 4.27816400 3.35485600
NiBO3 353002 B Ni 4.27816400 3.60189900
NiGeO3 351048 Ge Ni 4.53528900 3.70118100
NiGeO3 352212 Ni Ge 4.53528900 3.68317700
NiHgO3 351095 Ni Hg 4.56668500 4.09919300
NiHgO3 353051 Hg Ni 4.56668500 3.79423600
NiIrO3 353834 Ir Ni 4.39296700 3.67401600
NiIrO3 354331 Ni Ir 4.39296700 3.80916200
NiMoO3 354327 Mo Ni 4.41774900 3.67677400
NiMoO3 355227 Ni Mo 4.41774900 3.85175600
NiOsO3 351453 Os Ni 4.38990500 3.69645000
NiOsO3 351781 Ni Os 4.38990500 3.83811400
NiPbO3 353655 Pb Ni 4.65636500 3.80076800
NiPbO3 355039 Ni Pb 4.65636500 4.15758100
NiPdO3 353659 Ni Pd 4.40250400 3.89168900
NiPdO3 354403 Pd Ni 4.40250400 3.68356000
NiPtO3 353435 Ni Pt 4.40926000 3.90511400
NiPtO3 354441 Pt Ni 4.40926000 3.70124300
NiRhO3 352085 Ni Rh 4.38641800 3.86386500
NiRhO3 353861 Rh Ni 4.38641800 3.69017200
NiRuO3 353717 Ni Ru 4.38291800 3.73889100
NiRuO3 354703 Ru Ni 4.38291800 3.64984100
NiSbO3 353560 Sb Ni 4.65497500 3.75403500
NiSbO3 354980 Ni Sb 4.65497500 3.93487900
NiSnO3 354136 Ni Sn 4.60533500 3.99067800
NiSnO3 354469 Sn Ni 4.60533500 3.74512500
NiTeO3 350581 Ni Te 4.71201100 4.03194100
NiTeO3 355193 Te Ni 4.71201100 3.77282600
NiWO3 351221 W Ni 4.42230000 3.67250200
NiWO3 353281 Ni W 4.42230000 3.86448600
Np2O3 351837 Np Np 4.61319900 4.49719900
NpAgO3 351597 Ag Np 4.57869700 4.26796400
NpAgO3 353017 Np Ag 4.57869700 4.06265400
NpAlO3 351656 Np Al 4.57151700 3.76249700
NpAlO3 352583 Al Np 4.57151700 4.30728300
NpAsO3 351201 Np As 4.64885400 4.05058200
NpAsO3 353754 As Np 4.64885400 4.35640000
NpAuO3 351788 Au Np 4.57719000 4.25785100
NpAuO3 354682 Np Au 4.57719000 4.13054300
NpBeO3 352251 Np Be 4.43146800 3.57926900
NpBeO3 353313 Be Np 4.43146800 4.27928400
NpBiO3 350162 Np Bi 4.85322000 4.40537500
NpBiO3 352044 Bi Np 4.85322000 4.40766000
NpBO3 355278 Np B 4.42437400 3.57158100
NpBO3 355281 B Np 4.42437400 4.24510000
NpCdO3 350320 Np Cd 4.64794500 4.12988000
NpCdO3 350429 Cd Np 4.64794500 4.31567700
NpCoO3 351083 Co Np 4.48106900 4.26660600
NpCoO3 351405 Np Co 4.48106900 3.76866300
NpCrO3 352321 Cr Np 4.49810600 4.27790800
NpCrO3 354458 Np Cr 4.49810600 3.88010100
NpCuO3 350331 Np Cu 4.49317800 3.80597900
NpCuO3 355294 Cu Np 4.49317800 4.24212900
NpFeO3 352655 Fe Np 4.49318200 4.31177800
NpFeO3 352843 Np Fe 4.49318200 3.89228900
NpGaO3 353136 Np Ga 4.61876200 3.86486500
NpGaO3 355268 Ga Np 4.61876200 4.30002300
NpGeO3 351279 Ge Np 4.66607900 4.30814000
NpGeO3 355269 Np Ge 4.66607900 3.95434000
NpHgO3 353794 Np Hg 4.69575700 4.21625700
NpHgO3 354593 Hg Np 4.69575700 4.28528600
NpInO3 350456 Np In 4.71787000 4.13097600
NpInO3 352664 In Np 4.71787000 4.33846300
NpIrO3 351585 Ir Np 4.53198200 4.30406800
NpIrO3 352167 Np Ir 4.53198200 3.99689900
NpMnO3 353474 Mn Np 4.50116500 4.33697500
NpMnO3 354768 Np Mn 4.50116500 3.89737100
NpMoO3 350122 Np Mo 4.55527900 3.99620900
NpMoO3 351977 Mo Np 4.55527900 4.34558600
NpNbO3 353848 Nb Np 4.59365900 4.32504500
NpNbO3 353994 Np Nb 4.59365900 4.05941600
NpNiO3 352230 Np Ni 4.47925800 3.78685200
NpNiO3 354689 Ni Np 4.47925800 3.90117200
NpOsO3 351599 Os Np 4.52910500 4.30066700
NpOsO3 353632 Np Os 4.52910500 3.98002400
NpPaO3 353362 Pa Np 4.70102000 4.35420300
NpPaO3 354356 Np Pa 4.70102000 4.48795500
NpPbO3 351311 Np Pb 4.78070500 4.21884900
NpPbO3 354580 Pb Np 4.78070500 4.40460100
NpPdO3 351049 Np Pd 4.54094400 3.99893200
NpPdO3 354293 Pd Np 4.54094400 4.53856100
NpPtO3 353238 Pt Np 4.54729600 4.57742100
NpPtO3 353857 Np Pt 4.54729600 4.05201400
NpReO3 355070 Re Np 4.54107800 4.36055500
NpReO3 355260 Np Re 4.54107800 3.98648200
NpRhO3 350121 Rh Np 4.52582900 4.22563700
NpRhO3 351575 Np Rh 4.52582900 3.96333800
NpRuO3 353057 Np Ru 4.52254200 3.95572200
NpRuO3 355201 Ru Np 4.52254200 4.57098100
NpSbO3 350885 Sb Np 4.77938500 4.40500200
NpSbO3 354473 Np Sb 4.77938500 4.25382600
NpScO3 351219 Sc Np 4.70124100 4.34506100
NpScO3 352820 Np Sc 4.70124100 4.02936900
NpSiO3 352364 Si Np 4.62530100 4.31179500
NpSiO3 353747 Np Si 4.62530100 3.79684000
NpSnO3 350775 Sn Np 4.73233500 4.38973300
NpSnO3 354569 Np Sn 4.73233500 4.15843200
NpTaO3 352706 Ta Np 4.59429500 4.35471800
NpTaO3 353544 Np Ta 4.59429500 4.03800700
NpTcO3 350070 Tc Np 4.53202200 4.27070700
NpTcO3 352214 Np Tc 4.53202200 3.96931400
NpTeO3 353772 Te Np 4.83354100 4.38288500
NpTeO3 353918 Np Te 4.83354100 4.27824200
NpTiO3 350521 Ti Np 4.58584500 4.34140700
NpTiO3 350780 Np Ti 4.58584500 3.92261700
NpTlO3 351611 Np Tl 4.75586000 4.26080600
NpTlO3 353604 Tl Np 4.75586000 4.34252500
NpUO3 350759 Np U 4.63832600 4.41764400
NpUO3 351706 U Np 4.63832600 4.43276100
NpVO3 350224 Np V 4.52705100 3.90808900
NpVO3 351421 V Np 4.52705100 4.36051300
NpWO3 353302 Np W 4.55956000 4.00006300
NpWO3 354437 W Np 4.55956000 4.29848200
NpZnO3 351620 Zn Np 4.54927400 4.27401500
NpZnO3 352698 Np Zn 4.54927400 3.87118800
Os2O3 354234 Os Os 4.44176700 3.89775100
OsAuO3 353215 Os Au 4.49172900 4.05097400
OsAuO3 354711 Au Os 4.49172900 3.89154000
OsPbO3 354104 Pb Os 4.70254900 4.01964900
OsPbO3 354595 Os Pb 4.70254900 4.19647900
OsPdO3 351842 Pd Os 4.45407500 3.85518200
OsPdO3 354134 Os Pd 4.45407500 3.93114500
OsPtO3 351653 Pt Os 4.46067500 3.87208800
OsPtO3 353408 Os Pt 4.46067500 3.97454000
OsRhO3 354379 Rh Os 4.43836100 3.86424500
OsRhO3 354396 Os Rh 4.43836100 3.89888900
OsRuO3 350537 Ru Os 4.43494200 3.87679100
OsRuO3 354989 Os Ru 4.43494200 3.88278600
OsWO3 352314 Os W 4.47341800 3.92618700
OsWO3 353761 W Os 4.47341800 3.90660100
Pa2O3 353815 Pa Pa 4.78567700 4.48156800
PaAgO3 350460 Ag Pa 4.66780900 4.35749100
PaAgO3 351832 Pa Ag 4.66780900 4.07042000
PaAlO3 351119 Pa Al 4.66090100 3.77410000
PaAlO3 353679 Al Pa 4.66090100 4.38479200
PaAsO3 350043 As Pa 4.73537000 4.36089100
PaAsO3 353212 Pa As 4.73537000 4.05267400
PaAuO3 352748 Pa Au 4.66635900 4.13681500
PaAuO3 355042 Au Pa 4.66635900 4.35677300
PaBeO3 351754 Pa Be 4.52641400 3.60100300
PaBeO3 354169 Be Pa 4.52641400 4.34423900
PaBiO3 351635 Bi Pa 4.93277900 4.41818200
PaBiO3 352737 Pa Bi 4.93277900 4.34120400
PaBO3 350027 Pa B 4.51961500 3.61420200
PaBO3 350283 B Pa 4.51961500 4.34354100
PaCdO3 351616 Pa Cd 4.73449400 4.14081000
PaCdO3 354931 Cd Pa 4.73449400 4.38053900
PaCoO3 350670 Pa Co 4.57398900 3.77041100
PaCoO3 351483 Co Pa 4.57398900 4.35003000
PaCrO3 350910 Cr Pa 4.59034400 4.35688400
PaCrO3 354004 Pa Cr 4.59034400 3.89059900
PaCuO3 350302 Cu Pa 4.58561200 4.34226700
PaCuO3 354082 Pa Cu 4.58561200 3.80910800
PaFeO3 350163 Pa Fe 4.58561600 3.88815700
PaFeO3 353388 Fe Pa 4.58561600 4.34834500
PaGaO3 350915 Ga Pa 4.70637800 4.37960700
PaGaO3 352356 Pa Ga 4.70637800 3.86908600
PaGeO3 350551 Ge Pa 4.75197400 4.37039500
PaGeO3 353316 Pa Ge 4.75197400 3.92347300
PaHgO3 353149 Hg Pa 4.78059900 4.38865400
PaHgO3 354869 Pa Hg 4.78059900 4.22495200
PaInO3 353418 Pa In 4.80193900 4.08182300
PaInO3 353535 In Pa 4.80193900 4.40861900
PaIrO3 351525 Ir Pa 4.62288700 4.34487200
PaIrO3 352676 Pa Ir 4.62288700 3.99749700
PaMnO3 353098 Pa Mn 4.59328200 3.91555200
PaMnO3 354513 Mn Pa 4.59328200 4.38156400
PaMoO3 351251 Pa Mo 4.64528300 4.01666900
PaMoO3 352080 Mo Pa 4.64528300 4.37399000
PaNbO3 354579 Nb Pa 4.68220800 4.37095100
PaNbO3 355087 Pa Nb 4.68220800 4.06367200
PaNiO3 351906 Ni Pa 4.57225000 4.33980400
PaNiO3 353160 Pa Ni 4.57225000 3.80022600
PaOsO3 352298 Pa Os 4.62012200 3.97680300
PaOsO3 353349 Os Pa 4.62012200 4.36224400
PaPbO3 350149 Pb Pa 4.86263400 4.44051800
PaPbO3 352704 Pa Pb 4.86263400 4.25292500
PaPdO3 351517 Pa Pd 4.63150100 4.00689600
PaPdO3 352872 Pd Pa 4.63150100 4.34791600
PaPtO3 351233 Pt Pa 4.63760700 4.34449600
PaPtO3 352160 Pa Pt 4.63760700 4.06108000
PaReO3 353576 Re Pa 4.63163000 4.39775000
PaReO3 354751 Pa Re 4.63163000 3.97452200
PaRhO3 354661 Pa Rh 4.61697400 3.96127400
PaRhO3 354749 Rh Pa 4.61697400 4.34708700
