composition OQMD_Id A_atom B_atom OQMD_unrelaxed_lattice_parameter OQMD_relaxed_lattice_parameter
BeAgO3 353673 Be Ag 4.39404100 3.92959500
BeAlO3 351818 Al Be 4.38624400 3.36494400
BeAlO3 353345 Be Al 4.38624400 3.58265200
BeAsO3 350795 Be As 4.47006900 3.71098200
BeAsO3 354884 As Be 4.47006900 3.47703200
BeAuO3 350200 Au Be 4.39240500 3.53379200
BeAuO3 355169 Be Au 4.39240500 3.96671800
BeBiO3 352656 Bi Be 4.68997400 3.63598900
BeBiO3 353683 Be Bi 4.68997400 4.16995400
BeBO3 350383 B Be 4.22569200 3.33760900
BeBO3 353563 Be B 4.22569200 3.23489600
BeCdO3 351661 Cd Be 4.46908600 3.56027900
BeCdO3 351847 Be Cd 4.46908600 4.01657200
BeCoO3 351369 Be Co 4.28772900 3.59388800
BeCoO3 353089 Co Be 4.28772900 3.43347900
BeCrO3 350969 Be Cr 4.30632600 3.68906800
BeCrO3 351504 Cr Be 4.30632600 3.42377800
BeCuO3 352660 Be Cu 4.30094900 3.61957100
BeCuO3 355069 Cu Be 4.30094900 3.39443500
BeFeO3 353229 Fe Be 4.30095300 4.31921900
BeFeO3 353930 Be Fe 4.30095300 3.66799900
BeGaO3 350382 Ga Be 4.43749500 3.42457800
BeGaO3 353016 Be Ga 4.43749500 3.73828200
BeGeO3 350392 Ge Be 4.48869100 3.45684900
BeGeO3 351602 Be Ge 4.48869100 3.64124800
BeHgO3 351243 Be Hg 4.52073600 4.07266900
BeHgO3 353367 Hg Be 4.52073600 3.60494000
BeInO3 354193 Be In 4.54458100 4.03996600
BeInO3 354825 In Be 4.54458100 3.51867500
BeIrO3 352089 Be Ir 4.34324900 3.85018700
BeIrO3 354208 Ir Be 4.34324900 3.43121900
BeMoO3 351272 Be Mo 4.36859600 3.87330500
BeMoO3 354701 Mo Be 4.36859600 3.40964000
BeNbO3 351347 Be Nb 4.41028000 3.96467900
BeNbO3 354613 Nb Be 4.41028000 3.40548500
BeNiO3 354377 Be Ni 4.28575000 3.59385700
BeOsO3 350631 Be Os 4.34011600 3.83970900
BeOsO3 354294 Os Be 4.34011600 3.40848900
BePbO3 351562 Be Pb 4.61219400 4.13017600
BePbO3 354330 Pb Be 4.61219400 3.60941800
BePdO3 352635 Pd Be 4.35300400 3.46055800
BePdO3 354854 Be Pd 4.35300400 3.85582700
BePtO3 354300 Be Pt 4.35991500 3.89096800
BePtO3 355019 Pt Be 4.35991500 3.46888300
BeReO3 352098 Be Re 4.35315000 3.85104900
BeReO3 353209 Re Be 4.35315000 3.40413900
BeRhO3 351572 Rh Be 4.33654900 3.42166300
BeRhO3 352608 Be Rh 4.33654900 3.83206300
BeRuO3 351528 Be Ru 4.33296700 3.82804600
BeRuO3 354791 Ru Be 4.33296700 3.39882000
BeSbO3 351535 Sb Be 4.61077700 3.53279000
BeSbO3 352882 Be Sb 4.61077700 3.94742100
BeSiO3 350447 Be Si 4.44457900 3.44606600
BeSiO3 350555 Si Be 4.44457900 3.38173500
BeSnO3 352081 Sn Be 4.56016500 3.51028100
BeSnO3 352543 Be Sn 4.56016500 3.96817900
BeTcO3 351928 Tc Be 4.34329200 3.41646300
BeTcO3 352263 Be Tc 4.34329200 3.83490900
BeTeO3 350562 Te Be 4.66889100 3.52640500
BeTeO3 354964 Be Te 4.66889100 4.04750800
BeTlO3 350196 Be Tl 4.58548500 4.12269200
BeTlO3 355220 Tl Be 4.58548500 3.59857700
BeVO3 351446 Be V 4.33787900 3.70551600
BeVO3 353265 V Be 4.33787900 3.39456000
BeWO3 354319 Be W 4.37325100 3.88165000
BeWO3 354408 W Be 4.37325100 3.40311200
BeZnO3 350580 Be Zn 4.36206700 3.71689000
BeZnO3 351569 Zn Be 4.36206700 3.44486300
Bi2O3 355217 Bi Bi 5.07159400 4.34687600
BiAsO3 350641 As Bi 4.88547100 4.23144500
BiAsO3 351452 Bi As 4.88547100 4.01938600
BiAuO3 354307 Bi Au 4.82072100 4.12857600
BiAuO3 354427 Au Bi 4.82072100 4.18626300
BiBO3 354059 B Bi 4.68364200 4.13900300
BiBO3 355209 Bi B 4.68364200 3.55621700
BiIrO3 351449 Ir Bi 4.78002400 4.20351200
BiIrO3 354630 Bi Ir 4.78002400 3.99536200
BiMoO3 351931 Mo Bi 4.80098100 4.24461500
BiMoO3 352168 Bi Mo 4.80098100 4.01534300
BiOsO3 351679 Bi Os 4.77743800 3.98983900
BiOsO3 354832 Os Bi 4.77743800 4.23420800
BiPbO3 352111 Bi Pb 5.00531300 4.32374600
BiPbO3 353617 Pb Bi 5.00531300 4.21837700
BiPdO3 351040 Bi Pd 4.78808300 4.00404500
BiPdO3 351207 Pd Bi 4.78808300 4.17061900
BiPtO3 350039 Pt Bi 4.79379600 4.17829900
BiPtO3 355198 Bi Pt 4.79379600 4.04863100
BiRhO3 354068 Bi Rh 4.77449400 3.97176300
BiRhO3 355212 Rh Bi 4.77449400 4.19513200
BIrO3 352372 Ir B 4.33586300 3.39203000
BIrO3 354712 B Ir 4.33586300 3.84216100
BiRuO3 351751 Bi Ru 4.77154100 3.96914700
BiRuO3 353290 Ru Bi 4.77154100 4.21966700
BiSbO3 351747 Sb Bi 5.00411000 4.31715600
BiSbO3 354200 Bi Sb 5.00411000 4.18548700
BiTeO3 352102 Bi Te 5.05358200 4.24938000
BiTeO3 354675 Te Bi 5.05358200 4.30809200
BiWO3 350092 W Bi 4.80483600 4.23905100
BiWO3 352161 Bi W 4.80483600 4.01940800
